HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,Total Number of Units:,Total Low-Income Units:,Compliance Monitoring Status
ORA19980105,STADIUM STATION,737 SW 17TH AVE,PORTLAND,OR,97205,45.52155304,-122.6895676,41051005200,114,114,Not Indicated
ORA20000075,OAK APTS,333 SW OAK ST,PORTLAND,OR,97204,45.52111435,-122.6741714,41051010600,90,89,Not Indicated
ORA20000080,PATTON HOME,4619 N MICHIGAN AVE,PORTLAND,OR,97217,45.5565033,-122.6772995,41051003501,63,63,Not Indicated
ORA20000090,RIDGECREST TIMBERS APTS,8870 N COLUMBIA BLVD,PORTLAND,OR,97203,45.60482025,-122.7525253,41051004101,97,97,Not Indicated
ORA20000120,SPRING TREE APTS,650 SE 162ND AVE,PORTLAND,OR,97233,45.51787567,-122.496254,41051009702,72,72,Not Indicated
ORA20010025,LOVEJOY STATION,1040 NW TENTH AVE,PORTLAND,OR,97209,45.53078461,-122.6811371,41051005100,181,181,Not Indicated
ORA20010040,PARK TERRACE APTS,315 N ALBERTA ST,PORTLAND,OR,97217,45.55925369,-122.6701431,41051003401,88,87,Not Indicated
ORA20010045,PARK VISTA,10914 SE STARK ST,PORTLAND,OR,97216,45.51883316,-122.5512619,41051008202,59,59,Not Indicated
ORA20010055,PINE POINT APTS,12025 SE PINE ST,PORTLAND,OR,97216,45.52054977,-122.539566,41051008202,24,24,Not Indicated
ORA20010060,ROSEMONT COURT,597 N DEKUM ST,PORTLAND,OR,97217,45.57189178,-122.6723328,41051003701,100,100,Not Indicated
ORA20010065,ROSEMONT TOWN HOMES,621 N SARATOGA ST,PORTLAND,OR,97217,45.57275772,-122.673111,41051003701,18,18,Not Indicated
ORA20010075,SEQUOIA SQUARE APTS,247 SE 160TH AVE,PORTLAND,OR,97233,45.52092743,-122.4992523,41051009301,62,61,Not Indicated
ORA20020005,BOOKMARK,2034 NE 40TH AVE,PORTLAND,OR,97212,45.53736496,-122.6217194,41051002702,47,19,Not Indicated
ORA20020025,GARDEN PARK ESTATES,3140 SE 136TH AVE,PORTLAND,OR,97236,45.49936676,-122.5233002,41051009101,63,63,Not Indicated
ORA20020040,IRVINGTON VILLAGE,420 NE MASON ST,PORTLAND,OR,97211,45.55314636,-122.661293,41051003302,104,73,Not Indicated
ORA20020050,LOS JARDINES DE LA PAZ,5530 NE 60TH AVE,PORTLAND,OR,97218,45.56327057,-122.6005783,41051007400,43,42,Not Indicated
ORA20020070,TROUTDALE TERRACE APTS,639 SW 257TH AVE,TROUTDALE,OR,97060,45.53581619,-122.3975296,41051010303,228,226,Not Indicated
ORA20030005,CASCADIAN TERRACE,5700 N KERBY AVE,PORTLAND,OR,97217,45.56447601,-122.6726761,41051003702,103,103,Not Indicated
ORA20030010,CLINTON RIDGE APTS,2730 SE 92ND AVE,PORTLAND,OR,97266,45.50178528,-122.5679321,41051008301,29,28,Not Indicated
ORA20030025,FOUNTAIN PLACE,929 SW SALMON ST,PORTLAND,OR,97205,45.51802063,-122.6825638,41051010600,80,64,Not Indicated
ORA20030035,GATEWAY PARK APTS,510 NE 100TH AVE,PORTLAND,OR,97220,45.52635574,-122.5604782,41051008100,144,144,Not Indicated
ORA20030045,LENTS 2000,8940 SE REEDWAY ST,PORTLAND,OR,97266,45.48119736,-122.570549,41051000601,36,36,Not Indicated
ORA20030055,PACIFIC TOWER,333 NW FOURTH AVE,PORTLAND,OR,97209,45.52555084,-122.6747131,41051005100,156,156,Not Indicated
ORA20030080,ST FRANCIS APTS,1024 SW MAIN ST,PORTLAND,OR,97205,45.51723862,-122.6837997,41051010600,132,132,Not Indicated
ORA20040005,RICHARD L HARRIS BUILDING,8 NW EIGHTH AVE,PORTLAND,OR,97209,45.52316284,-122.6782227,41051005100,180,180,Not Indicated
ORA20040020,BILTMORE HOTEL,310 NW SIXTH AVE,PORTLAND,OR,97209,45.52528,-122.6762848,41051005100,76,76,Not Indicated
ORA20040050,EAST FAIR TERRACE - OREGON 1,500 NW DIVISION ST,GRESHAM,OR,97030,45.50426865,-122.4369049,41051010001,100,100,Not Indicated
ORA20040070,HAZELWOOD STATION,36 NE 147TH AVE,PORTLAND,OR,97230,45.5228157,-122.5118866,41051009302,60,60,Not Indicated
ORA20040100,MIDLAND COMMONS,2830 SE 127TH AVE,PORTLAND,OR,97236,45.50227356,-122.5322876,41051009000,46,44,Not Indicated
ORA20040110,SPRINGWATER COMMONS,6430 SE 128TH AVE,PORTLAND,OR,97236,45.47642899,-122.531868,41051008901,36,36,Not Indicated
ORA20040115,VILLAS DE MARIPOSAS,5205 NE KILLINGSWORTH ST,PORTLAND,OR,97218,45.56292343,-122.609108,41051007400,71,71,Not Indicated
ORA20040122,STATION PLACE TOWER,1020 NW NINTH AVE,PORTLAND,OR,97209,45.53029251,-122.6801147,41051005100,176,157,Not Indicated
ORA20050020,GRESHAM STATION APTS,1957 NW FLORENCE AVE,GRESHAM,OR,97030,45.51011276,-122.4437561,41051010001,253,253,Not Indicated
ORA20050025,HOTEL ALDER SRO,415 SW ALDER ST,PORTLAND,OR,97204,45.5194397,-122.676506,41051010600,99,99,Not Indicated
