HUD ID Number:,Project Name:,Project Address:,Project City:,Project State:,Project ZIP Code:,Project's Latitude:,Project's Longitude:,Unique 2010 Census Tract Identifier Code:,Total Number of Units:,Total Low-Income Units:,Compliance Monitoring Status
ORA19870015,AINSWORTH DUPLEX,1225 NE AINSWORTH ST,PORTLAND,OR,97211,45.5665741,-122.6527481,41051003601,2,2,Not Indicated
ORA19870020,DUPLEX,2815 SE FRANCIS ST,PORTLAND,OR,97202,45.49496078,-122.637352,41051000902,2,2,No Longer Monitored
ORA19980125,YARDS AT UNION STATION I,945 NW NAITO PKWY,PORTLAND,OR,97209,45.53007507,-122.6757813,41051005100,158,158,Not Indicated
ORA19990020,CANDALARIA APTS,1009 SE 162ND AVE,PORTLAND,OR,97233,45.51546478,-122.4967346,41051009701,32,32,Not Indicated
ORA19990025,CASCADE CROSSING,10625 E BURNSIDE ST,PORTLAND,OR,97216,45.52283096,-122.5539322,41051008100,74,74,Not Indicated
ORA19990055,FIFTH AVE COURTS,733 SW SECOND AVE,PORTLAND,OR,97204,45.51761627,-122.6750031,41051010600,96,48,Not Indicated
ORA19990065,HAMILTON WEST APTS,1212 SW CLAY ST,PORTLAND,OR,97201,45.5152092,-122.6875916,41051005500,152,152,Not Indicated
ORA19990070,HOLGATE PLAZA APTS,4333 SE 104TH AVE,PORTLAND,OR,97266,45.49101639,-122.5560074,41051008302,48,48,Not Indicated
ORA19990080,MACDONALD CTR ALF,615 NW COUCH ST,PORTLAND,OR,97209,45.52393341,-122.677063,41051005100,54,54,Not Indicated
ORA19990085,MARWOOD PLAZA APTS,7200 SE WOODSTOCK BLVD,PORTLAND,OR,97206,45.47936249,-122.5892639,41051000502,40,40,Not Indicated
ORA19990090,MINERVA PLAZA APTS,6633 N OBERLIN ST,PORTLAND,OR,97203,45.58486176,-122.7355576,41051004002,15,15,Not Indicated
ORA19990125,ROCKWOOD LANDING,19045 SE YAMHILL ST,PORTLAND,OR,97233,45.51568985,-122.4666901,41051009801,36,35,Not Indicated
ORA19990135,SCOTT CREST PLAZA APTS,13223 SE POWELL BLVD,PORTLAND,OR,97236,45.49765015,-122.5271454,41051009000,42,42,Not Indicated
ORA19990140,ST ANTHONY VILLAGE,3560 SE 79TH AVE,PORTLAND,OR,97206,45.4965477,-122.5823059,41051000702,128,106,Not Indicated
ORA19990150,VILLA DE SUENOS,6444 NE KILLINGSWORTH ST,PORTLAND,OR,97218,45.56257248,-122.5960846,41051007500,28,28,Not Indicated
ORA19990155,VILLAGE AT LOVEJOY FOUNTAIN,245 SW LINCOLN ST,PORTLAND,OR,97201,45.50815964,-122.680069,41051005700,198,40,Not Indicated
ORA19990160,VILLAGE GARDENS,15230 NE SANDY BLVD,PORTLAND,OR,97230,45.55129242,-122.5050964,41051009501,59,59,Not Indicated
ORA19990165,YARDS AT UNION STATION II,945 NW NAITO PKWY,PORTLAND,OR,97209,45.53007507,-122.6757813,41051005100,321,134,Not Indicated
ORA20000005,ALPHA APTS,18088 SE MARKET ST,PORTLAND,OR,97233,45.512146,-122.4766769,41051009702,22,22,Not Indicated
ORA20000025,CENTER VILLAGE APTS,5814 NE HOYT ST,PORTLAND,OR,97213,45.52706528,-122.6035385,41051001801,60,60,Not Indicated
ORA20000030,COLLINS CIRCLE,1730 SW JEFFERSON ST,PORTLAND,OR,97201,45.51772308,-122.692215,41051005500,124,52,Not Indicated
ORA20000055,KAFOURY COMMONS,1240 SW COLUMBIA ST,PORTLAND,OR,97201,45.51594925,-122.6875305,41051005500,129,92,Not Indicated
ORA20000065,MCCULLER CROSSING,236 N KILLINGSWORTH ST,PORTLAND,OR,97217,45.56254196,-122.6690521,41051003401,40,40,Not Indicated
ORA19870035,HOUSE,1525 NE EMERSON ST,PORTLAND,OR,97211,45.56174088,-122.6494598,41051003200,1,1,No Longer Monitored
ORA19870040,HOUSE,2024 NE EMERSON ST,PORTLAND,OR,97211,45.56139374,-122.6443634,41051003200,1,1,No Longer Monitored
ORA19870045,HOUSE,3514 NE CLEVELAND AVE,PORTLAND,OR,97212,45.54837036,-122.6654587,41051003402,1,1,No Longer Monitored
ORA19870050,HOUSE,4403 NE 16TH AVE,PORTLAND,OR,97211,45.55491638,-122.6495667,41051003200,1,1,No Longer Monitored
ORA19870055,HOUSE,5215 NE GARFIELD AVE,PORTLAND,OR,97211,45.56074524,-122.6628723,41051003401,1,1,No Longer Monitored
ORA19870060,HOUSE,6635 NE 24TH AVE,PORTLAND,OR,97211,45.57077789,-122.6415787,41051003602,1,1,No Longer Monitored
ORA19870065,HOUSE,7034 NE SEVENTH PL,PORTLAND,OR,97211,45.57362747,-122.6573029,41051003601,1,1,No Longer Monitored
ORA19870070,HOUSE,8523 N CURTIS AVE,PORTLAND,OR,97217,45.58482742,-122.6987457,41051003901,1,1,No Longer Monitored
ORA19870080,KILLINGSWORTH HOUSE,1707 NE KILLINGSWORTH ST,PORTLAND,OR,97211,45.56287766,-122.647789,41051003602,1,1,No Longer Monitored
ORA19870085,KILLINGSWORTH HOUSE,817 NE KILLINGSWORTH ST,PORTLAND,OR,97211,45.56290436,-122.6570435,41051003601,1,1,No Longer Monitored
ORA19870095,MICHIGAN HOUSE,5942 N MICHIGAN AVE,PORTLAND,OR,97217,45.5658989,-122.676712,41051003803,1,1,No Longer Monitored
ORA19870100,MISSISSIPPI HOUSE,5323 N MISSISSIPPI AVE,PORTLAND,OR,97217,45.56148529,-122.6762314,41051003501,1,1,No Longer Monitored
ORA19870115,SUMMER HOUSE,1725 NE SUMNER ST,PORTLAND,OR,97211,45.56049728,-122.6470718,41051003200,1,1,No Longer Monitored
ORA19870130,VILLARD HOUSE,6935 N VILLARD AVE,PORTLAND,OR,97217,45.5729599,-122.6977768,41051003902,1,1,No Longer Monitored
ORA19870140,WILLIS HOUSE,4121 N WILLIS BLVD,PORTLAND,OR,97203,45.58420944,-122.70961,41051003901,1,1,No Longer Monitored
ORA19880005,6909 NE GARFIELD AVE,6909 NE GARFIELD AVE,PORTLAND,OR,97211,45.57271957,-122.6626053,41051003701,1,1,Not Indicated
ORA19880035,BEECH STREET 4-PLEX,1027 N BEECH ST,PORTLAND,OR,97227,45.54989243,-122.6773453,41051003502,4,4,No Longer Monitored
ORA19880040,CAROL ANN APTS,5109 NE KILLINGSWORTH ST,PORTLAND,OR,97218,45.56292725,-122.6102982,41051007400,19,19,No Longer Monitored
ORA19880045,CONVERSE COURT APTS,325 NW 18TH AVE,PORTLAND,OR,97209,45.52531052,-122.6895294,41051004900,18,18,No Longer Monitored
ORA19880065,DUPLEX,309 NW 25TH ST,GRESHAM,OR,97030,45.51473236,-122.4339981,41051010100,2,2,No Longer Monitored
ORA19880070,DUPLEX,5276 NE 15TH AVE,PORTLAND,OR,97211,45.56126404,-122.6494675,41051003200,2,2,No Longer Monitored
ORA19880075,EL MORO APTS,2016 SE 122ND AVE,PORTLAND,OR,97233,45.50841141,-122.5374298,41051009201,95,95,No Longer Monitored
ORA19880080,FAIRVIEW ARMS,305 SEVENTH ST,FAIRVIEW,OR,97024,45.53599167,-122.4409714,41051010100,45,45,Not Indicated
ORA19880095,HOLGATE HOUSE,4601 SE CESAR E CHAVEZ BLVD,PORTLAND,OR,97202,45.48947525,-122.6230545,41051000301,1,1,No Longer Monitored
ORA19880105,HOLLADAY CT,2310 NE WEIDLER ST,PORTLAND,OR,97232,45.53413391,-122.6419601,41051002502,14,14,No Longer Monitored
ORA19880115,HOUSE,105 N GOING ST,PORTLAND,OR,97217,45.55656433,-122.6674728,41051003401,1,1,No Longer Monitored
ORA19880125,HOUSE,3310 N WINCHELL ST,PORTLAND,OR,97217,45.58076096,-122.7012405,41051003901,1,1,No Longer Monitored
ORA19880130,6TH HOUSE,3927 NE 6TH AVE,PORTLAND,OR,97212,45.55113983,-122.6598282,41051003302,1,1,No Longer Monitored
ORA19880140,MICHIGAN HOUSE 2,3713 N MICHIGAN AVE,PORTLAND,OR,97227,45.54975128,-122.676857,41051003502,1,1,Not Indicated
ORA19880145,HOUSE,3927 NE SIXTH AVE,PORTLAND,OR,97212,45.55113983,-122.6598282,41051003302,1,1,No Longer Monitored
ORA19880150,HOUSE,2963 N MISSOURI,PORTLAND,OR,97227,45.54349899,-122.667099,41051002203,1,1,Not Indicated
ORA19880155,HOUSE,3963 NE NINTH AVE,PORTLAND,OR,97212,45.55161667,-122.6568985,41051003302,1,1,No Longer Monitored
ORA19880165,HOUSE,4036 N GANTENBEIN AVE,PORTLAND,OR,97227,45.55272675,-122.6687775,41051003402,1,1,No Longer Monitored
ORA19880170,MISSISSIPPI HOUSE 2,4211 N MISSISSIPPI AVE,PORTLAND,OR,97217,45.55405045,-122.6757507,41051003502,1,1,Not Indicated
ORA19880175,HOUSE,4513 NE 18TH AVE,PORTLAND,OR,97211,45.55555725,-122.6470566,41051003200,1,1,No Longer Monitored
ORA19880180,HOUSE,5109 NE 11TH AVE,PORTLAND,OR,97211,45.56007004,-122.6548309,41051003301,1,1,No Longer Monitored
ORA19880185,HOUSE,5273 NE 23RD AVE,PORTLAND,OR,97211,45.56118774,-122.642128,41051003200,1,1,No Longer Monitored
ORA19880190,HOUSE,5506 NE 32ND PL,PORTLAND,OR,97211,45.56277084,-122.6314774,41051003602,1,1,No Longer Monitored
ORA19880195,HOUSE,5620 NE 22ND AVE,PORTLAND,OR,97211,45.56353378,-122.6432571,41051003602,1,1,No Longer Monitored
ORA19880200,HOUSE,5628 NE 22ND AVE,PORTLAND,OR,97211,45.56357193,-122.6432571,41051003602,1,1,No Longer Monitored
ORA19880205,HOUSE,6025 N CAMPBELL AVE,PORTLAND,OR,97217,45.5668602,-122.6866531,41051003803,1,1,No Longer Monitored
ORA19880215,HOUSE,715 NE FAILING ST,PORTLAND,OR,97212,45.55096436,-122.6584778,41051003302,1,1,No Longer Monitored
ORA19880225,IMPERIAL ARMS APTS,1429 SW 14TH AVE,PORTLAND,OR,97201,45.51632309,-122.6890717,41051005500,27,27,No Longer Monitored
ORA19880240,MELISSA ANNE APTS,7660 E BURNSIDE ST,PORTLAND,OR,97215,45.52265167,-122.5839844,41051001701,22,22,No Longer Monitored
ORA19880245,MICHIGAN HOUSE,3721 N MICHIGAN AVE,PORTLAND,OR,97227,45.54980087,-122.676857,41051003502,1,1,No Longer Monitored
ORA19880270,SECOND WIND APTS,7927 SW 31ST AVE,PORTLAND,OR,97219,45.46697235,-122.7091904,41051006602,32,32,No Longer Monitored
ORA19880300,TRIPLEX,4013 SW BRUGGER ST,PORTLAND,OR,97219,45.4563179,-122.7182617,41051006502,3,3,Not Indicated
ORA19880305,VILLA 40,3608 SE 40TH AVE,PORTLAND,OR,97202,45.49667358,-122.6205215,41051000802,44,44,Not Indicated
ORA19880315,WILSHIRE APTS,420 SE GRAND AVE,PORTLAND,OR,97214,45.51972961,-122.6604919,41051002100,14,14,Not Indicated
ORA19880320,WILSHIRE APTS,420 SE GRAND AVE,PORTLAND,OR,97214,45.51972961,-122.6604919,41051002100,19,19,No Longer Monitored
ORA19890025,DENVER HOUSE 1,7056 N DENVER AVE,PORTLAND,OR,97217,45.57422256,-122.6870575,41051003802,1,1,No Longer Monitored
ORA19890030,DENVER HOUSE 2,7048 N DENVER AVE,PORTLAND,OR,97217,45.57416153,-122.6870575,41051003802,1,1,No Longer Monitored
ORA19890065,HOUSE,545 N BALDWIN ST,PORTLAND,OR,97217,45.5788002,-122.6714401,41051003701,1,1,No Longer Monitored
ORA19890075,NOKOMIS APTS,1715 NW MARSHALL ST,PORTLAND,OR,97209,45.5308609,-122.6889114,41051005000,32,32,Not Indicated
ORA19890085,OPUS THREE,13730 SE STARK ST,PORTLAND,OR,97233,45.51892853,-122.5225143,41051009201,6,6,No Longer Monitored
ORA19890090,RUSSELL PLACE DUPLEXES,16333 NE RUSSELL ST,PORTLAND,OR,97230,45.54176712,-122.4946594,41051009605,4,4,No Longer Monitored
ORA19900035,COUNTRY VIEW APTS,15810 NE SANDY BLVD,PORTLAND,OR,97230,45.55031586,-122.5001678,41051009501,144,144,Not Indicated
