OBJECTID,GEOID,geoname,Stusab,Countyname,State,County,Tract,BLKGRP,Low,Lowmod,Lowmoduniv,Lowmod_pct,Low_vs_Lowmod_pct
164136,410510103062,"Block Group 2, Census Tract 103.06, Multnomah County, Oregon",OR,Multnomah County,41,51,10306,2,325,630,2090,0.3014,
164137,410510103063,"Block Group 3, Census Tract 103.06, Multnomah County, Oregon",OR,Multnomah County,41,51,10306,3,535,565,995,0.5678,
164138,410510104021,"Block Group 1, Census Tract 104.02, Multnomah County, Oregon",OR,Multnomah County,41,51,10402,1,220,330,1415,0.2332,65.7513258691809
164139,410510104022,"Block Group 2, Census Tract 104.02, Multnomah County, Oregon",OR,Multnomah County,41,51,10402,2,225,950,2710,0.3506,
164140,410510104023,"Block Group 3, Census Tract 104.02, Multnomah County, Oregon",OR,Multnomah County,41,51,10402,3,265,550,2160,0.2546,
164141,410510104051,"Block Group 1, Census Tract 104.05, Multnomah County, Oregon",OR,Multnomah County,41,51,10405,1,175,515,1855,0.2776,65.7513258691809
164142,410510104052,"Block Group 2, Census Tract 104.05, Multnomah County, Oregon",OR,Multnomah County,41,51,10405,2,590,765,1110,0.6892,
164143,410510104053,"Block Group 3, Census Tract 104.05, Multnomah County, Oregon",OR,Multnomah County,41,51,10405,3,460,1320,1675,0.7881,
164144,410510104054,"Block Group 4, Census Tract 104.05, Multnomah County, Oregon",OR,Multnomah County,41,51,10405,4,510,600,1380,0.4348,
164145,410510104071,"Block Group 1, Census Tract 104.07, Multnomah County, Oregon",OR,Multnomah County,41,51,10407,1,320,635,2370,0.2679,65.7513258691809
164146,410510104072,"Block Group 2, Census Tract 104.07, Multnomah County, Oregon",OR,Multnomah County,41,51,10407,2,855,1285,1960,0.6556,
164147,410510104073,"Block Group 3, Census Tract 104.07, Multnomah County, Oregon",OR,Multnomah County,41,51,10407,3,280,490,1390,0.3525,
164148,410510104081,"Block Group 1, Census Tract 104.08, Multnomah County, Oregon",OR,Multnomah County,41,51,10408,1,225,400,1555,0.2572,65.7513258691809
164149,410510104082,"Block Group 2, Census Tract 104.08, Multnomah County, Oregon",OR,Multnomah County,41,51,10408,2,425,865,1760,0.4915,
164150,410510104083,"Block Group 3, Census Tract 104.08, Multnomah County, Oregon",OR,Multnomah County,41,51,10408,3,360,925,1145,0.8079,
164151,410510104084,"Block Group 4, Census Tract 104.08, Multnomah County, Oregon",OR,Multnomah County,41,51,10408,4,970,1180,1395,0.8459,
164152,410510104091,"Block Group 1, Census Tract 104.09, Multnomah County, Oregon",OR,Multnomah County,41,51,10409,1,1515,2245,5770,0.3891,65.7513258691809
164153,410510104092,"Block Group 2, Census Tract 104.09, Multnomah County, Oregon",OR,Multnomah County,41,51,10409,2,170,310,1865,0.1662,
164154,410510104093,"Block Group 3, Census Tract 104.09, Multnomah County, Oregon",OR,Multnomah County,41,51,10409,3,65,95,860,0.1105,
164155,410510104101,"Block Group 1, Census Tract 104.10, Multnomah County, Oregon",OR,Multnomah County,41,51,10410,1,1085,1500,2120,0.7075,65.7513258691809
164156,410510104102,"Block Group 2, Census Tract 104.10, Multnomah County, Oregon",OR,Multnomah County,41,51,10410,2,555,950,1595,0.5956,
164157,410510104103,"Block Group 3, Census Tract 104.10, Multnomah County, Oregon",OR,Multnomah County,41,51,10410,3,510,865,1050,0.8238,
164158,410510104111,"Block Group 1, Census Tract 104.11, Multnomah County, Oregon",OR,Multnomah County,41,51,10411,1,690,1215,1605,0.757,65.7513258691809
164159,410510104112,"Block Group 2, Census Tract 104.11, Multnomah County, Oregon",OR,Multnomah County,41,51,10411,2,535,825,1540,0.5357,
164160,410510105001,"Block Group 1, Census Tract 105, Multnomah County, Oregon",OR,Multnomah County,41,51,10500,1,70,140,1235,0.1134,65.7513258691809
164161,410510105002,"Block Group 2, Census Tract 105, Multnomah County, Oregon",OR,Multnomah County,41,51,10500,2,245,505,1105,0.457,
164162,410510105003,"Block Group 3, Census Tract 105, Multnomah County, Oregon",OR,Multnomah County,41,51,10500,3,190,190,520,0.3654,
164163,410510105004,"Block Group 4, Census Tract 105, Multnomah County, Oregon",OR,Multnomah County,41,51,10500,4,185,385,1170,0.3291,
164164,410510106001,"Block Group 1, Census Tract 106, Multnomah County, Oregon",OR,Multnomah County,41,51,10600,1,460,550,595,0.9244,65.7513258691809
164165,410510106002,"Block Group 2, Census Tract 106, Multnomah County, Oregon",OR,Multnomah County,41,51,10600,2,900,1015,1365,0.7436,
164166,410510106003,"Block Group 3, Census Tract 106, Multnomah County, Oregon",OR,Multnomah County,41,51,10600,3,340,345,360,0.9583,
164167,410519800001,"Block Group 1, Census Tract 9800, Multnomah County, Oregon",OR,Multnomah County,41,51,980000,1,0,0,0,0.0,65.7513258691809
